Östlig koordinat;Nordlig koordinat;z;Plats;Djup (längd);Borr-avslut;diameter (mm);material;Rör överkant (Rök);Rör över marknivå (Röm);Marknivå;obsid;Status;Copy this Data for Point;Copy for Point ID;Placering
155155.756;6592625.203;0;gc_tunnel;10,76;;51;stål;13,829;0;12.349;Rb3;aktiv;point 155155.756,6592625.203,0;-text 155155.756,6592625.203,0   Rb3;TKs mättning
155067.107;6592654.741;0;gc_tunnel;5,68;;51;stål;16,047;0;15.64;Rb5;aktiv;point 155067.107,6592654.741,0;-text 155067.107,6592654.741,0   Rb5;TKs mättning
155330.877;6592584.064;0;kava;0;;0;;0;0;10.495;GVRWSP1;aktiv;point 155330.877,6592584.064,0;-text 155330.877,6592584.064,0   GVRWSP1;TKs mättning
155225.308;6592646.748;0;kava/gc-tunnel;0;;0;;12,734;0;12.234;21LE03G;aktiv;point 155225.308,6592646.748,0;-text 155225.308,6592646.748,0   21LE03G;TKs mättning
155515.808;6592597.547;0;kava/gc-tunnel;11,88;;51;stål;9,183;0;8.203;21LE71G;aktiv;point 155515.808,6592597.547,0;-text 155515.808,6592597.547,0   21LE71G;TKs mättning
154796.714;6592313.332;0;Koppling2;3;;25,4;stål;16,5;1,47;15.031;19SVM101;aktiv;point 154796.714,6592313.332,0;-text 154796.714,6592313.332,0   19SVM101;TKs mättning
154804.788;6592435.037;0;Koppling2;6,5;;24;stål;16;0;15.107;19SVM103;aktiv;point 154804.788,6592435.037,0;-text 154804.788,6592435.037,0   19SVM103;TKs mättning
154838.383;6592423.469;0;Koppling2;6;;51;stål;14,3;0,72;13.581;19SVM104;aktiv;point 154838.383,6592423.469,0;-text 154838.383,6592423.469,0   19SVM104;TKs mättning
154843.789;6592377.409;0;Koppling2;3,323;;25,4;stål;15;0,72;13.823;19SVM105;aktiv;point 154843.789,6592377.409,0;-text 154843.789,6592377.409,0   19SVM105;TKs mättning
154868.314;6592449.674;0;Koppling2;6,536;;50;PEH;14,86;0;14.525;G11A9003;aktiv;point 154868.314,6592449.674,0;-text 154868.314,6592449.674,0   G11A9003;TKs mättning
154938.872;6591718.249;0;Koppling6;4,5;;25,4;stål;20,35;1,4;18.955;G11A0107;aktiv;point 154938.872,6591718.249,0;-text 154938.872,6591718.249,0   G11A0107;-
155075.078;6591814.428;0;Koppling6;0;;0;;24,93;0;24.89;Omarkt4;aktiv;point 155075.078,6591814.428,0;-text 155075.078,6591814.428,0   Omarkt4;-
154754.103;6591627.989;0;Koppling7;7,648;stopp mot block eller berg;51;stål;14,3;1,15;13.148;19SVM112;aktiv;point 154754.103,6591627.989,0;-text 154754.103,6591627.989,0   19SVM112;Behöver flyttas inom 2 år (i samråd med TK)
154752.1452;6591579.305;0;Koppling7;7,3;stopp i förmodat berg;51;stål;13,13;1;12.1329;21BT04;aktiv;point 154752.1452,6591579.305,0;-text 154752.1452,6591579.305,0   21BT04;Behöver flyttas inom 2 år (i samråd med TK)
155513.861;6592205.773;0;ovrig;4,5;;51;stål;21,2;0,9;20.3;18SG107G;aktiv;point 155513.861,6592205.773,0;-text 155513.861,6592205.773,0   18SG107G;-
155426.2769;6591963.79;0;ovrig;7,5;;25,4;stål;21,1;0,604;20.496;AT37GV;aktiv;point 155426.2769,6591963.79,0;-text 155426.2769,6591963.79,0   AT37GV;-
154823.5063;6592226.21;0;ovrig;6;;41;PEH;15,6;0,97;14.63;GW13_6M;aktiv;point 154823.5063,6592226.21,0;-text 154823.5063,6592226.21,0   GW13_6M;-
154829.5327;6592176.243;0;ovrig;0,95;2;41;PEH;16,5;1,05;15.45;GW18_2M;aktiv;point 154829.5327,6592176.243,0;-text 154829.5327,6592176.243,0   GW18_2M;-
154779.5707;6592288.282;0;ovrig;2;;41;PEH;16,9;1;15.9;GW2_2M;aktiv;point 154779.5707,6592288.282,0;-text 154779.5707,6592288.282,0   GW2_2M;-
154765.0186;6592221.792;0;ovrig;2;;41;PEH;16,8;0,98;15.82;GW9_2M;aktiv;point 154765.0186,6592221.792,0;-text 154765.0186,6592221.792,0   GW9_2M;-
155327.1647;6592453.072;0;ovrig;0;;51;PEH;12,8864;0;11.6284;Omarkt5;aktiv;point 155327.1647,6592453.072,0;-text 155327.1647,6592453.072,0   Omarkt5;-
154447.163;6592229.245;0;galoppfältet;9;;50;PEH;13,91;1,36;12.55;21BT24_M;aktiv;point 154447.163,6592229.245,0;-text 154447.163,6592229.245,0   21BT24_M;TKs mättning
154765.0186;6592221.792;0;ovrig;4;;41;PEH;16,8;0,98;15.82;GW9_4M;aktiv;point 154765.0186,6592221.792,0;-text 154765.0186,6592221.792,0   GW9_4M;-
154888.645;6591935.787;0;DP1;4,5;;51;stål;17,75;-0,05;17,8;22E103';aktiv;point 154888.645,6591935.787,0;-text 154888.645,6591935.787,0   22E103';Behöver flyttas eller tas bort (OBOS Kv.1:10 innan Q4-2024)
154870.5842;6592301.532;0;DP10;0;;51;stål;14,67;0,84;13,8304;21BT26;aktiv;point 154870.5842,6592301.532,0;-text 154870.5842,6592301.532,0   21BT26;TKs mättning
154950.8057;6592446.183;0;DP10;0;;51;stål;12,892;0,91;11,9819;21BT29;aktiv;point 154950.8057,6592446.183,0;-text 154950.8057,6592446.183,0   21BT29;TKs mättning
155046.2276;6592362.103;0;DP10;0;;51;stål;13,35;0,63;12,7186;21BT30;aktiv;point 155046.2276,6592362.103,0;-text 155046.2276,6592362.103,0   21BT30;TKs mättning
155426.257;6592137.497;0;DP2;6;;25,4;stål;22,84;1;21,8414;16GS04GW;aktiv;point 155426.257,6592137.497,0;-text 155426.257,6592137.497,0   16GS04GW;Hanteras i samråd med Wallenstam
155353.202;6592141.461;0;DP2;4,7;;50;PEH;19,759;0,305;19,4;18GS03G;aktiv;point 155353.202,6592141.461,0;-text 155353.202,6592141.461,0   18GS03G;Hanteras i samråd med Wallenstam
155385.247;6592121.29;0;DP2;6,1;;41;PEH;20,4;1,3;19,1;18GS04G;aktiv;point 155385.247,6592121.29,0;-text 155385.247,6592121.29,0   18GS04G;Hanteras i samråd med Wallenstam
155425.618;6592166.325;0;DP2;3,1;;51;stål;20,8;1,2;19,6;18GS06G;aktiv;point 155425.618,6592166.325,0;-text 155425.618,6592166.325,0   18GS06G;Hanteras i samråd med Wallenstam
155387.338;6592204.51;0;DP2;5,5;;25,4;stål;21,7;1,2;20,5;18SG110G;aktiv;point 155387.338,6592204.51,0;-text 155387.338,6592204.51,0   18SG110G;Hanteras i samråd med Wallenstam
155469.9315;6592144;0;DP2;5,1;;51;stål;22,59;1,3;21,3;19T01G;aktiv;point 155469.9315,6592144,0;-text 155469.9315,6592144,0   19T01G;Hanteras i samråd med Wallenstam
155206.5298;6592020.196;0;DP2;4,03;;51;stål;23,01;0,83;22,183;19T06G;aktiv;point 155206.5298,6592020.196,0;-text 155206.5298,6592020.196,0   19T06G;Hanteras i samråd med TK
155380.767;6592146.09;0;DP2;2,5;;25,4;stål;19,5;0,5;19,004;G11A0113;aktiv;point 155380.767,6592146.09,0;-text 155380.767,6592146.09,0   G11A0113;Hanteras i samråd med Wallenstam
155318.93;6592008.809;0;DP2;7,11;;51;stål;22,667;0,83;21,837;20T02G;aktiv;point 155318.93,6592008.809,0;-text 155318.93,6592008.809,0   20T02G;-
154603.47;6591791.268;0;DP4;13,5;;25,4;stål;12,8;1,47;11,327;19SVM117;aktiv;point 154603.47,6591791.268,0;-text 154603.47,6591791.268,0   19SVM117;Behöver flyttas österut 1m från utsida arbetsbädd eller tas bort
154528.072;6591897.42;0;DP4;13,5;;25,4;stål;13,9;1,67;12,228;19SVM118;aktiv;point 154528.072,6591897.42,0;-text 154528.072,6591897.42,0   19SVM118;-
154752.2544;6592009.177;0;DP4;7;;51;stål;14,7;1,34;13,36;GV4A;aktiv;point 154752.2544,6592009.177,0;-text 154752.2544,6592009.177,0   GV4A;Behöver flyttas västerut ca. 10m från urskiftning eller tas bort
